Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Andrés Guibert,C,25,MIN,5,0,6.6,1.2,4.0,.300,0.0,0.0,,1.2,4.0,.300,.300,0.6,1.2,.500,2.0,1.2,3.2,0.4,0.0,0.2,1.2,1.2,3.0,1994/1995
Jay Guidinger,C,24,CLE,32,0,4.1,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.7,.714,0.5,0.6,1.0,0.1,0.1,0.2,0.5,0.7,1.5,1994/1995
Jack Haley,PF,30,SAS,28,0,3.4,0.8,1.7,.438,0.0,0.0,,0.8,1.7,.438,.438,0.6,0.8,.810,0.2,0.6,0.9,0.0,0.0,0.0,0.4,0.6,2.1,1994/1995
Geert Hammink,C,24,ORL,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1994/1995
Tom Hammonds,PF,26,DEN,74,2,11.9,1.6,3.1,.500,0.0,0.0,,1.6,3.1,.500,.500,1.0,1.4,.683,0.8,1.9,2.7,0.5,0.3,0.2,0.6,1.2,4.1,1994/1995
Anfernee Hardaway,PG,22,ORL,82,82,36.8,6.2,13.3,.466,0.6,2.3,.267,5.6,11.0,.507,.489,3.0,4.0,.742,2.3,3.0,5.4,6.6,2.3,0.6,3.6,2.5,16.0,1994/1995
Derek Harper,PG,32,TOT,82,55,26.9,3.7,9.1,.407,0.9,2.5,.360,2.8,6.6,.425,.456,1.4,2.0,.687,0.2,1.5,1.7,4.1,1.5,0.1,1.6,2.0,9.6,1994/1995
Derek Harper,PG,32,DAL,28,28,31.9,4.6,12.2,.380,1.3,3.8,.352,3.3,8.5,.392,.434,1.0,1.8,.560,0.4,1.6,2.0,3.5,1.6,0.1,1.9,1.6,11.6,1994/1995
Derek Harper,PG,32,NYK,54,27,24.3,3.2,7.4,.430,0.7,1.8,.367,2.5,5.6,.451,.475,1.6,2.1,.743,0.2,1.4,1.6,4.4,1.5,0.1,1.5,2.2,8.6,1994/1995
Ron Harper,SG,30,LAC,75,75,38.1,7.6,17.8,.426,0.9,3.1,.301,6.6,14.7,.453,.453,4.0,5.6,.715,1.7,4.4,6.1,4.6,1.9,0.7,3.2,2.2,20.1,1994/1995
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1994/1995
Lucious Harris,SG,23,DAL,77,0,15.1,2.1,5.0,.421,0.1,0.4,.212,2.0,4.6,.440,.430,1.1,1.5,.731,0.6,1.5,2.0,1.4,0.6,0.1,1.0,1.5,5.4,1994/1995
Tony Harris,SG,26,BOS,5,0,17.6,1.8,6.2,.290,0.6,1.8,.333,1.2,4.4,.273,.339,4.6,5.0,.920,0.6,1.4,2.0,1.6,0.8,0.0,1.2,1.6,8.8,1994/1995
Antonio Harvey,PF,23,LAL,27,6,9.1,1.1,2.9,.367,0.0,0.0,,1.1,2.9,.367,.367,0.4,1.0,.462,1.0,1.2,2.2,0.2,0.3,0.7,0.6,1.4,2.6,1994/1995
Scott Haskin,C,23,IND,27,2,6.9,0.8,1.7,.467,0.0,0.0,,0.8,1.7,.467,.467,0.5,0.7,.684,0.6,1.4,2.0,0.2,0.1,0.6,0.5,1.2,2.0,1994/1995
Hersey Hawkins,SG,27,CHH,82,82,32.3,4.8,10.5,.460,1.0,2.9,.332,3.9,7.6,.508,.505,3.8,4.4,.862,1.1,3.5,4.6,2.6,1.6,0.3,1.9,2.0,14.4,1994/1995
Skeeter Henry,SG,26,PHO,4,0,3.8,0.3,1.3,.200,0.0,0.5,.000,0.3,0.8,.333,.200,0.5,1.0,.500,0.0,0.5,0.5,1.0,0.0,0.0,0.3,0.3,1.0,1994/1995
Steve Henson,PG,25,CHH,3,0,5.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.3,0.3,1.7,0.0,0.0,0.3,1.0,1.0,1994/1995
Carl Herrera,PF,27,HOU,75,0,17.2,1.9,4.1,.458,0.0,0.0,,1.9,4.1,.458,.458,0.9,1.3,.711,1.3,2.5,3.8,0.5,0.4,0.3,0.9,2.1,4.7,1994/1995
